_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
6979d927682586564e383740,Male,28,1,6.0,0,1-2 Year,Yes,31181.0,124.0,282,0
6979d927682586564e3835d1,Female,38,1,35.0,1,1-2 Year,No,2630.0,152.0,153,0
6979d927682586564e3835f3,Female,27,1,33.0,1,< 1 Year,No,35512.0,152.0,111,0
6979d927682586564e3835c0,Female,51,1,28.0,0,1-2 Year,Yes,38341.0,124.0,49,1
6979d927682586564e383646,Male,20,1,3.0,1,< 1 Year,No,41914.0,160.0,206,0
6979d927682586564e3835f9,Female,39,1,5.0,0,1-2 Year,Yes,31760.0,26.0,141,0
6979d927682586564e383700,Male,22,1,37.0,0,< 1 Year,Yes,38240.0,152.0,221,1
6979d927682586564e383614,Male,27,1,8.0,1,< 1 Year,No,31428.0,122.0,77,0
6979d927682586564e383785,Male,30,1,28.0,0,< 1 Year,Yes,51429.0,121.0,119,1
6979d927682586564e38361b,Female,32,1,27.0,1,< 1 Year,No,22838.0,151.0,295,0
6979d927682586564e38370d,Male,54,1,15.0,0,1-2 Year,Yes,35116.0,124.0,171,1
6979d927682586564e383601,Female,26,1,30.0,1,< 1 Year,No,31791.0,152.0,189,0
6979d927682586564e383714,Male,31,1,24.0,0,1-2 Year,Yes,2630.0,156.0,257,0
6979d927682586564e38377d,Female,22,1,43.0,0,1-2 Year,Yes,42589.0,157.0,236,0
6979d927682586564e383787,Female,33,1,7.0,0,1-2 Year,No,2630.0,26.0,103,0
6979d927682586564e383612,Male,72,1,46.0,1,1-2 Year,Yes,28698.0,30.0,216,0
6979d927682586564e383605,Female,23,1,30.0,0,< 1 Year,No,26689.0,152.0,254,0
6979d927682586564e38365e,Female,51,1,28.0,0,1-2 Year,Yes,57008.0,26.0,208,0
6979d927682586564e3836d4,Female,35,1,28.0,0,1-2 Year,Yes,41662.0,150.0,223,0
6979d927682586564e3835ed,Female,27,1,11.0,0,< 1 Year,Yes,34587.0,26.0,63,0
6979d927682586564e38371a,Male,45,1,28.0,0,> 2 Years,Yes,49145.0,122.0,222,1
6979d927682586564e3835fc,Female,54,1,47.0,0,> 2 Years,Yes,32873.0,26.0,248,0
6979d927682586564e383789,Female,44,1,28.0,0,1-2 Year,Yes,52593.0,26.0,30,1
6979d927682586564e383727,Female,22,1,28.0,1,< 1 Year,No,38452.0,26.0,51,0
6979d927682586564e3835e0,Female,62,1,48.0,0,1-2 Year,Yes,2630.0,15.0,295,0
6979d927682586564e383653,Female,33,1,36.0,1,< 1 Year,No,40899.0,152.0,85,0
6979d927682586564e3836f9,Female,69,1,28.0,0,1-2 Year,Yes,32400.0,26.0,189,1
6979d927682586564e383720,Male,20,1,35.0,1,< 1 Year,No,2630.0,160.0,81,0
6979d927682586564e383716,Male,52,1,30.0,1,< 1 Year,No,2630.0,1.0,152,0
6979d927682586564e3836d3,Male,67,1,28.0,0,1-2 Year,Yes,32653.0,124.0,171,0
6979d927682586564e383752,Female,21,1,34.0,0,1-2 Year,Yes,36314.0,163.0,86,1
6979d927682586564e383625,Female,22,1,25.0,0,< 1 Year,Yes,23955.0,160.0,22,0
6979d927682586564e38368f,Male,62,1,15.0,0,1-2 Year,No,44679.0,86.0,239,0
6979d927682586564e3836dd,Female,59,1,39.0,0,1-2 Year,Yes,44630.0,124.0,200,0
6979d927682586564e38374c,Female,36,1,46.0,0,< 1 Year,Yes,2630.0,1.0,94,0
6979d927682586564e3836fd,Male,25,1,25.0,1,< 1 Year,No,32856.0,152.0,275,0
6979d927682586564e38365b,Male,52,1,0.0,0,1-2 Year,Yes,2630.0,124.0,89,0
6979d927682586564e383624,Male,23,1,41.0,1,< 1 Year,No,33307.0,152.0,147,0
6979d927682586564e3835cf,Female,54,1,28.0,0,1-2 Year,No,38560.0,122.0,184,0
6979d927682586564e3836e7,Male,77,1,50.0,1,1-2 Year,No,42327.0,124.0,10,0
6979d927682586564e38372a,Female,44,1,28.0,0,1-2 Year,Yes,45485.0,122.0,245,0
6979d927682586564e383689,Male,29,1,28.0,1,< 1 Year,No,44742.0,152.0,85,0
6979d927682586564e383784,Female,22,1,44.0,1,< 1 Year,No,37232.0,152.0,177,0
6979d927682586564e383664,Female,28,1,8.0,1,< 1 Year,No,37731.0,152.0,30,0
6979d927682586564e383660,Male,48,1,8.0,0,> 2 Years,Yes,44021.0,124.0,135,0
6979d927682586564e3836f7,Male,23,1,18.0,1,< 1 Year,No,35970.0,26.0,16,0
6979d927682586564e3836d2,Male,21,1,29.0,1,< 1 Year,No,43798.0,152.0,258,0
6979d927682586564e383796,Male,22,1,35.0,0,< 1 Year,Yes,30083.0,152.0,84,0
6979d927682586564e3836c6,Male,26,1,10.0,0,< 1 Year,Yes,24115.0,152.0,69,0
6979d927682586564e3836bf,Female,54,1,41.0,0,1-2 Year,Yes,53581.0,124.0,199,1
6979d927682586564e3835ef,Male,50,1,28.0,1,1-2 Year,No,27784.0,26.0,277,0
6979d927682586564e38374b,Male,23,1,6.0,1,< 1 Year,No,24308.0,152.0,256,0
6979d927682586564e3835df,Male,54,1,28.0,0,1-2 Year,Yes,25205.0,26.0,283,1
6979d927682586564e3835d2,Female,26,1,30.0,1,< 1 Year,No,31136.0,152.0,186,0
6979d927682586564e38363e,Male,51,1,19.0,0,1-2 Year,Yes,2630.0,124.0,228,0
6979d927682586564e38368c,Male,42,1,31.0,0,1-2 Year,Yes,2630.0,124.0,181,0
6979d927682586564e38373d,Female,45,1,35.0,1,1-2 Year,No,2630.0,26.0,200,0
6979d927682586564e383773,Male,52,1,28.0,0,1-2 Year,Yes,46090.0,124.0,217,1
6979d927682586564e38374a,Female,26,1,8.0,1,< 1 Year,No,22650.0,152.0,181,0
6979d927682586564e38361e,Male,39,1,3.0,0,1-2 Year,Yes,37239.0,26.0,216,1
6979d927682586564e383665,Female,24,1,16.0,1,< 1 Year,No,28190.0,152.0,284,0
6979d927682586564e383613,Male,45,1,35.0,0,1-2 Year,Yes,2630.0,124.0,275,0
6979d927682586564e383713,Male,22,1,46.0,1,< 1 Year,No,25037.0,152.0,220,0
6979d927682586564e383798,Female,28,1,50.0,1,< 1 Year,No,26788.0,152.0,221,0
6979d927682586564e383754,Male,48,1,8.0,0,1-2 Year,Yes,42100.0,124.0,247,1
6979d927682586564e383775,Male,70,1,28.0,0,> 2 Years,Yes,51565.0,122.0,115,0
6979d927682586564e3835ee,Female,23,1,39.0,1,< 1 Year,No,40372.0,152.0,242,0
6979d927682586564e383762,Female,21,1,30.0,1,< 1 Year,No,24030.0,152.0,82,0
6979d927682586564e38360e,Male,29,1,41.0,1,< 1 Year,Yes,43046.0,163.0,222,0
6979d927682586564e38369f,Male,41,1,11.0,1,1-2 Year,No,35614.0,26.0,152,0
6979d927682586564e383742,Female,51,1,28.0,0,> 2 Years,Yes,33632.0,124.0,137,0
6979d927682586564e383710,Female,50,1,28.0,0,1-2 Year,Yes,68147.0,30.0,218,0
6979d927682586564e3835c4,Female,26,1,8.0,0,< 1 Year,No,2630.0,160.0,136,0
6979d927682586564e38364c,Female,28,1,44.0,0,1-2 Year,Yes,37570.0,156.0,258,1
6979d927682586564e383697,Male,27,1,3.0,1,< 1 Year,No,27181.0,152.0,125,0
6979d927682586564e3836ff,Male,42,1,38.0,0,1-2 Year,Yes,34193.0,156.0,116,1
6979d927682586564e3835ad,Female,56,1,28.0,0,1-2 Year,Yes,32031.0,26.0,72,1
6979d927682586564e383709,Female,29,1,28.0,1,< 1 Year,No,27715.0,152.0,93,0
6979d927682586564e383782,Female,23,1,27.0,0,< 1 Year,Yes,27827.0,151.0,19,0
6979d927682586564e38378d,Female,24,1,28.0,1,< 1 Year,No,28036.0,152.0,108,0
6979d927682586564e38363b,Female,22,1,11.0,1,< 1 Year,No,76651.0,152.0,258,0
6979d927682586564e3836b7,Female,20,1,17.0,0,1-2 Year,No,2630.0,156.0,181,0
6979d927682586564e3835f4,Male,29,1,28.0,0,1-2 Year,Yes,42567.0,26.0,167,1
6979d927682586564e383644,Female,23,1,47.0,0,< 1 Year,Yes,28737.0,152.0,18,0
6979d927682586564e383780,Male,40,1,28.0,0,1-2 Year,Yes,37142.0,124.0,286,0
6979d927682586564e3835e4,Female,62,1,28.0,0,> 2 Years,Yes,33830.0,26.0,130,0
6979d927682586564e3836d5,Female,24,1,33.0,1,< 1 Year,No,20513.0,152.0,270,0
6979d927682586564e3835ab,Female,24,1,33.0,0,< 1 Year,Yes,2630.0,160.0,176,0
6979d927682586564e383794,Female,27,1,46.0,1,< 1 Year,No,28640.0,152.0,93,0
6979d927682586564e3836bb,Male,55,1,28.0,0,> 2 Years,Yes,41246.0,26.0,285,0
6979d927682586564e3836f5,Male,20,1,29.0,1,1-2 Year,No,2630.0,157.0,271,0
6979d927682586564e383667,Male,21,1,47.0,0,< 1 Year,No,37028.0,160.0,119,0
6979d927682586564e38364e,Female,60,1,28.0,1,1-2 Year,No,30386.0,26.0,114,0
6979d927682586564e38376f,Male,46,1,33.0,0,1-2 Year,Yes,30866.0,124.0,77,0
6979d927682586564e38371e,Male,23,1,27.0,1,< 1 Year,No,26287.0,160.0,199,0
6979d927682586564e383717,Male,58,1,28.0,1,1-2 Year,No,44522.0,23.0,94,0
6979d927682586564e383616,Female,33,1,30.0,1,< 1 Year,No,24998.0,152.0,181,0
6979d927682586564e3835b5,Male,37,1,6.0,0,1-2 Year,Yes,2630.0,156.0,147,1
6979d927682586564e383657,Male,60,1,45.0,0,1-2 Year,No,42888.0,124.0,229,0
6979d927682586564e38370f,Female,23,1,8.0,1,< 1 Year,No,42644.0,152.0,257,0
6979d927682586564e383757,Male,25,1,16.0,1,< 1 Year,No,2630.0,152.0,178,0
6979d927682586564e38371c,Female,38,1,29.0,0,1-2 Year,Yes,47639.0,122.0,169,0
6979d927682586564e383726,Male,26,1,8.0,1,< 1 Year,No,54203.0,152.0,81,0
6979d927682586564e3835de,Male,39,1,28.0,0,1-2 Year,Yes,57582.0,26.0,141,0
6979d927682586564e383673,Male,21,1,30.0,0,< 1 Year,Yes,26720.0,160.0,64,0
6979d927682586564e3835e6,Male,39,1,15.0,0,1-2 Year,Yes,37849.0,124.0,22,0
6979d927682586564e3836d6,Male,24,1,11.0,1,< 1 Year,No,27771.0,152.0,233,0
6979d927682586564e38370e,Male,44,1,28.0,0,1-2 Year,Yes,39450.0,124.0,214,0
6979d927682586564e3836a8,Male,67,1,28.0,1,1-2 Year,No,31011.0,122.0,63,0
6979d927682586564e3836f8,Male,36,1,8.0,0,1-2 Year,Yes,30941.0,26.0,249,0
6979d927682586564e3835a6,Male,44,1,28.0,0,> 2 Years,Yes,40454.0,26.0,217,1
6979d927682586564e38378f,Female,39,1,28.0,0,1-2 Year,Yes,45387.0,154.0,59,1
6979d927682586564e383728,Female,34,1,28.0,0,1-2 Year,No,46685.0,124.0,205,0
6979d927682586564e383669,Male,55,1,30.0,1,1-2 Year,No,29215.0,26.0,226,0
6979d927682586564e38373a,Male,51,1,28.0,0,1-2 Year,Yes,37690.0,26.0,34,0
6979d927682586564e383685,Female,61,1,28.0,0,> 2 Years,Yes,2630.0,157.0,190,1
6979d927682586564e3835c3,Male,57,1,11.0,0,1-2 Year,Yes,25679.0,157.0,232,1
6979d927682586564e38362b,Female,25,1,49.0,1,< 1 Year,No,31680.0,152.0,66,0
6979d927682586564e383678,Female,48,1,28.0,1,1-2 Year,No,35945.0,124.0,24,0
6979d927682586564e38373e,Female,68,1,30.0,1,1-2 Year,No,2630.0,160.0,218,0
6979d927682586564e3836cd,Female,26,1,16.0,0,< 1 Year,Yes,32232.0,152.0,238,0
6979d927682586564e38366f,Female,41,1,28.0,0,1-2 Year,Yes,22561.0,124.0,207,1
6979d927682586564e383641,Female,49,1,28.0,0,1-2 Year,Yes,32771.0,154.0,29,0
6979d927682586564e3836b6,Female,60,1,6.0,0,1-2 Year,Yes,2630.0,157.0,143,0
6979d927682586564e3836ef,Female,52,1,45.0,0,1-2 Year,Yes,23918.0,26.0,265,0
6979d927682586564e383671,Male,42,1,8.0,0,1-2 Year,No,24224.0,154.0,66,0
6979d927682586564e383793,Female,20,1,28.0,1,< 1 Year,Yes,2630.0,160.0,120,0
6979d927682586564e38363a,Female,38,1,28.0,0,1-2 Year,Yes,34471.0,124.0,234,1
6979d927682586564e38368e,Male,53,1,0.0,0,1-2 Year,Yes,2630.0,26.0,69,0
6979d927682586564e38374e,Female,21,1,8.0,1,< 1 Year,Yes,46704.0,152.0,99,0
6979d927682586564e383683,Male,40,1,20.0,0,1-2 Year,Yes,2630.0,26.0,204,0
6979d927682586564e3835f6,Male,54,1,26.0,0,1-2 Year,Yes,35493.0,22.0,74,0
6979d927682586564e38373c,Male,45,1,28.0,0,1-2 Year,No,42620.0,124.0,245,0
6979d927682586564e3835b4,Male,71,1,28.0,1,1-2 Year,No,46818.0,30.0,58,0
6979d927682586564e3835d9,Male,22,1,16.0,0,< 1 Year,Yes,30673.0,152.0,216,0
6979d927682586564e3836f0,Male,20,1,28.0,1,< 1 Year,No,31367.0,160.0,255,0
6979d927682586564e383772,Female,30,1,49.0,0,< 1 Year,Yes,27967.0,152.0,270,0
6979d927682586564e38378e,Male,72,1,8.0,1,1-2 Year,No,36462.0,26.0,61,0
6979d927682586564e383707,Male,20,1,8.0,1,< 1 Year,No,38076.0,160.0,79,0
6979d927682586564e3836d7,Male,24,1,15.0,1,< 1 Year,No,23267.0,152.0,143,0
6979d927682586564e38372f,Female,49,1,29.0,0,1-2 Year,No,2630.0,156.0,265,0
6979d927682586564e3836d1,Male,22,1,21.0,1,< 1 Year,No,30893.0,152.0,29,0
6979d927682586564e3835f5,Male,77,1,37.0,1,1-2 Year,No,40651.0,124.0,183,0
6979d927682586564e3836eb,Female,24,1,33.0,1,< 1 Year,No,32219.0,152.0,45,0
6979d927682586564e383781,Male,59,1,8.0,1,1-2 Year,No,34424.0,26.0,134,0
6979d927682586564e3836c7,Male,64,1,8.0,0,1-2 Year,Yes,2630.0,124.0,293,0
6979d927682586564e3836c3,Male,42,1,15.0,0,1-2 Year,Yes,28883.0,26.0,66,0
6979d927682586564e383738,Female,27,1,33.0,0,< 1 Year,Yes,2630.0,152.0,125,0
6979d927682586564e38366a,Female,56,1,15.0,0,1-2 Year,No,29132.0,154.0,229,0
6979d927682586564e3836b2,Female,27,1,50.0,0,< 1 Year,Yes,2630.0,160.0,83,0
6979d927682586564e38361a,Male,69,1,46.0,0,1-2 Year,Yes,2630.0,11.0,16,0
6979d927682586564e3836ec,Female,26,1,47.0,1,< 1 Year,No,2630.0,152.0,296,0
6979d927682586564e38362d,Female,43,1,41.0,0,1-2 Year,Yes,2630.0,26.0,19,1
6979d927682586564e38362c,Female,27,1,8.0,1,< 1 Year,No,40651.0,152.0,260,0
6979d927682586564e3835ce,Male,30,1,30.0,0,< 1 Year,Yes,24550.0,124.0,45,0
6979d927682586564e38377c,Female,74,1,28.0,0,> 2 Years,Yes,30128.0,26.0,164,1
6979d927682586564e38364d,Female,26,1,8.0,0,< 1 Year,Yes,89282.0,152.0,101,0
6979d927682586564e38377e,Female,66,1,28.0,0,1-2 Year,Yes,30967.0,26.0,64,0
6979d927682586564e3836ee,Male,39,1,28.0,0,1-2 Year,Yes,38036.0,157.0,10,0
6979d927682586564e383695,Female,63,1,28.0,0,> 2 Years,Yes,31004.0,26.0,281,0
6979d927682586564e38362a,Male,28,1,37.0,1,< 1 Year,No,32600.0,152.0,131,0
6979d927682586564e383704,Male,46,1,29.0,0,1-2 Year,Yes,28946.0,124.0,64,0
6979d927682586564e3836cc,Male,22,1,13.0,1,< 1 Year,No,33413.0,152.0,104,0
6979d927682586564e38363d,Male,27,1,28.0,0,< 1 Year,Yes,26732.0,152.0,282,0
6979d927682586564e3835c8,Female,32,1,30.0,1,< 1 Year,No,27638.0,152.0,169,0
6979d927682586564e383763,Female,39,1,28.0,0,1-2 Year,Yes,33016.0,124.0,74,0
6979d927682586564e38361d,Female,23,1,25.0,0,< 1 Year,No,2630.0,152.0,149,0
6979d927682586564e383791,Male,43,1,18.0,0,1-2 Year,Yes,39225.0,124.0,268,0
6979d927682586564e38361f,Female,39,1,28.0,1,1-2 Year,No,37243.0,124.0,31,0
6979d927682586564e38375a,Male,29,1,8.0,0,< 1 Year,Yes,42992.0,124.0,241,0
6979d927682586564e3835a9,Male,21,1,11.0,1,< 1 Year,No,28619.0,152.0,203,0
6979d927682586564e3835a8,Male,47,1,28.0,0,> 2 Years,Yes,38294.0,26.0,27,1
6979d927682586564e3835d4,Female,29,1,15.0,1,< 1 Year,No,32923.0,152.0,34,0
6979d927682586564e38375d,Female,49,1,8.0,0,1-2 Year,Yes,38022.0,124.0,197,0
6979d927682586564e383715,Female,20,1,12.0,0,< 1 Year,Yes,2630.0,160.0,203,0
6979d927682586564e3835fd,Male,25,1,23.0,0,< 1 Year,Yes,23537.0,152.0,58,0
6979d927682586564e3836a7,Female,24,1,46.0,0,< 1 Year,Yes,27141.0,152.0,246,0
6979d927682586564e3836ed,Male,26,1,30.0,1,< 1 Year,No,2630.0,152.0,270,0
6979d927682586564e38365d,Male,59,1,41.0,1,1-2 Year,No,28821.0,26.0,29,0
6979d927682586564e383733,Male,21,1,28.0,0,< 1 Year,No,2630.0,152.0,186,0
6979d927682586564e383658,Male,46,1,28.0,0,1-2 Year,Yes,60478.0,26.0,128,1
6979d927682586564e3836c8,Female,25,1,47.0,1,< 1 Year,No,2630.0,160.0,299,0
6979d927682586564e3836cf,Male,60,1,8.0,0,1-2 Year,Yes,2630.0,124.0,21,0
6979d927682586564e3835aa,Female,29,1,41.0,1,< 1 Year,No,27496.0,152.0,39,0
6979d927682586564e383652,Female,50,1,28.0,0,1-2 Year,Yes,36282.0,26.0,237,0
6979d927682586564e3835be,Male,34,1,15.0,1,1-2 Year,No,38111.0,152.0,180,0
6979d927682586564e38360a,Male,52,1,28.0,1,1-2 Year,No,36033.0,26.0,92,0
6979d927682586564e383603,Female,28,1,41.0,0,1-2 Year,No,2630.0,156.0,138,0
6979d927682586564e383608,Female,21,1,2.0,0,< 1 Year,Yes,34274.0,152.0,79,0
6979d927682586564e383761,Female,25,1,23.0,1,< 1 Year,No,2630.0,152.0,228,0
6979d927682586564e38360f,Female,44,1,28.0,0,1-2 Year,Yes,50521.0,26.0,22,1
6979d927682586564e38375b,Female,28,1,14.0,1,< 1 Year,No,27555.0,152.0,258,0
6979d927682586564e383751,Male,54,1,28.0,1,1-2 Year,No,34431.0,124.0,288,0
6979d927682586564e383687,Female,53,1,28.0,1,1-2 Year,No,44313.0,61.0,33,0
6979d927682586564e383764,Male,54,1,35.0,0,1-2 Year,Yes,26629.0,26.0,113,1
6979d927682586564e383611,Male,31,1,29.0,0,1-2 Year,Yes,28867.0,124.0,247,0
6979d927682586564e3835d8,Female,22,1,50.0,0,< 1 Year,No,15052.0,152.0,141,0
6979d927682586564e38375f,Female,67,1,29.0,0,1-2 Year,Yes,43753.0,124.0,30,1
6979d927682586564e3836de,Female,26,1,28.0,1,< 1 Year,No,44082.0,152.0,197,0
6979d927682586564e3836fa,Male,27,1,15.0,0,< 1 Year,Yes,33845.0,152.0,260,0
6979d927682586564e3835e2,Male,49,1,8.0,0,1-2 Year,Yes,2630.0,156.0,30,0
6979d927682586564e383760,Male,54,1,33.0,0,1-2 Year,Yes,39396.0,124.0,295,0
6979d927682586564e3835b3,Male,76,1,28.0,0,1-2 Year,Yes,36770.0,13.0,15,0
6979d927682586564e38374d,Female,37,1,28.0,0,1-2 Year,Yes,20267.0,152.0,88,0
6979d927682586564e383631,Male,21,1,29.0,1,< 1 Year,No,62164.0,152.0,116,0
6979d927682586564e3836cb,Female,28,1,6.0,1,< 1 Year,No,18683.0,152.0,215,0
6979d927682586564e383655,Female,22,1,36.0,1,< 1 Year,No,34527.0,152.0,67,0
6979d927682586564e383628,Male,50,1,28.0,0,1-2 Year,Yes,57389.0,26.0,155,1
6979d927682586564e3836e3,Male,48,1,8.0,1,1-2 Year,No,41483.0,124.0,113,0
6979d927682586564e3836b1,Female,28,1,21.0,1,< 1 Year,No,26106.0,152.0,95,0
6979d927682586564e3836f2,Female,28,1,46.0,1,< 1 Year,No,41526.0,160.0,122,0
6979d927682586564e3836b3,Male,49,1,46.0,1,1-2 Year,No,2630.0,30.0,198,0
6979d927682586564e383635,Female,32,1,46.0,0,1-2 Year,Yes,27320.0,156.0,204,0
6979d927682586564e3836e6,Female,40,1,29.0,0,1-2 Year,Yes,2630.0,157.0,77,0
